@relation 'cleansed_data-weka.filters.unsupervised.attribute.Remove-R10,14,22_predicted'

@attribute yearID numeric
@attribute G numeric
@attribute R numeric
@attribute H numeric
@attribute 2B numeric
@attribute 3B numeric
@attribute predictedHR numeric
@attribute HR numeric
@attribute RBI numeric
@attribute salary numeric
@attribute weight numeric
@attribute height numeric
@attribute bats {R,L,B}
@attribute AB numeric
@attribute SO numeric
@attribute BB numeric
@attribute IBB numeric
@attribute SH numeric
@attribute SF numeric
@attribute GIDP numeric
@attribute R_avg numeric
@attribute H_avg numeric
@attribute 2B_avg numeric
@attribute 3B_avg numeric
@attribute HR_avg numeric
@attribute salary_avg numeric
@attribute weight_avg numeric
@attribute height_avg numeric
@attribute AB_avg numeric
@attribute SO_avg numeric
@attribute BB_avg numeric
@attribute IBB_avg numeric
@attribute SH_avg numeric
@attribute SF_avg numeric
@attribute GIDP_avg numeric
@attribute G_avg numeric
@attribute RBI_avg numeric
@attribute num_years_in_league numeric
@attribute age numeric

@data
1992,29,2,1,0,0,-0.044204,0,0,109000,210,75,R,21,8,2,0,4,0,0,1.4,3.4,0.1,0.1,0,1220216.8,210,75,34.6,13.4,1.1,0,4.8,0,0.3,23.5,0.8,9,32
1986,144,95,157,26,6,21.353728,20,73,670000,160,71,L,584,70,63,5,0,4,20,98.5,163.5,27.5,7,20.5,670000,160,71,596.5,63,71.5,7,2.5,4.5,11.5,148,73,9,29
2000,22,0,0,0,0,-0.055215,0,0,1600000,180,75,R,0,0,0,0,0,0,0,0,0.1,0,0,0,1163500,180,75,1.1,0.6,0,0,0.1,0,0,43.4,0.2,9,34
2014,60,0,0,0,0,0.003494,0,0,3000000,260,75,R,0,0,0,0,0,0,0,0,0,0,0,0,1101278.333333,260,75,0.5,0.333333,0,0,0,0,0,34,0,6,28
1999,76,0,0,0,0,-0.071299,0,0,850000,200,74,L,0,0,0,0,0,0,0,0,0,0,0,0,488750,200,74,0,0,0,0,0,0,0,62,0,7,34
2003,158,50,134,30,2,17.773375,23,80,3700000,220,71,R,559,103,37,4,1,6,13,58.666667,124.833333,24,3,16.5,1523333.333333,220,71,477.333333,83.833333,38.833333,3.833333,2.166667,4.333333,10,135,64.833333,5,24
1992,74,14,14,1,1,-0.721978,0,4,420000,185,74,B,76,11,10,0,4,0,2,41.5,72,9.166667,2.833333,0.5,222916.666667,185,74,292.5,34,36.666667,0.833333,3.333333,2.5,4.333333,100.833333,18.166667,5,28
1992,143,64,136,27,1,1.81442,3,40,1600000,170,69,R,550,44,62,2,10,4,17,71.4,146.8,35.8,1.2,3.4,597900,170,69,525.6,45.4,63,1.8,11.2,3.4,13.6,141.2,43.8,5,30
1999,153,70,170,39,4,18.679732,19,110,6250000,200,76,L,597,89,66,1,0,10,24,68,138.846154,30.076923,1.538462,18.615385,2915576.923077,200,76,479.076923,78,60.923077,7.769231,0.538462,5.846154,14.153846,135.846154,84.461538,14,36
2001,35,0,0,0,0,-0.003877,0,0,240000,205,74,L,5,4,0,0,0,0,0,0,0,0,0,0,240000,205,74,5,4,0,0,0,0,0,35,0,1,23
1998,33,6,11,2,0,0.256036,0,4,240000,170,74,R,79,27,2,0,9,1,0,3,5.5,1,0,0,205000,170,74,41,15,1,0,5.5,0.5,0,42.5,2,4,26
1986,56,29,53,11,3,4.93789,5,22,68000,185,75,L,199,33,21,3,3,1,4,29,53,11,3,5,68000,185,75,199,33,21,3,3,1,4,56,22,2,23
1985,145,64,116,18,2,21.693939,22,63,1450000,185,70,R,500,106,58,9,0,2,10,64,116,18,2,22,1450000,185,70,500,106,58,9,0,2,10,145,63,14,37
2012,40,18,39,10,1,2.829918,4,17,5812500,195,74,R,150,31,9,0,1,1,5,47.5,96.833333,18.5,1.5,9.333333,2279800,195,74,379.166667,85,28.166667,1.833333,4.666667,3,8.666667,111.833333,41.166667,7,29
1998,56,0,0,0,0,0.305509,0,0,173000,210,73,R,32,21,0,0,2,0,0,0,0,0,0,0,138750,210,73,10,6.5,0,0,0.5,0,0,19.25,0,6,27
2011,31,7,10,1,0,2.850533,2,4,1000000,210,74,L,84,18,6,0,0,0,3,18.6,36,6.8,0.4,6.2,508000,210,74,162.4,29.4,24.2,1.2,0,1.8,4.2,50,21.4,6,32
2006,70,0,0,0,0,-0.053672,0,0,850000,180,73,R,0,0,0,0,0,0,0,0,0,0,0,0,590000,180,73,0.5,0.5,0,0,0,0,0,64,0,3,31
1998,14,1,5,1,1,0.034437,0,2,170000,205,73,L,23,3,1,0,0,0,1,1,5,1,1,0,170000,205,73,23,3,1,0,0,0,1,14,2,2,25
1994,16,2,4,0,0,-0.011765,0,0,115000,150,71,R,26,12,0,0,3,0,0,2,4,0,0,0,115000,150,71,26,12,0,0,3,0,0,16,0,1,22
1985,143,75,137,21,2,4.830414,5,40,600000,165,71,R,497,39,85,3,5,6,24,75,137,21,2,5,600000,165,71,497,39,85,3,5,6,24,143,40,10,31
2013,16,0,0,0,0,-0.442077,0,0,13750000,245,79,L,1,1,1,0,0,0,0,1.625,4.125,0.625,0,0.375,5187375,245,79,33.5,18,1.75,0,4,0,0.25,20.875,3.125,8,29
2009,18,0,0,0,0,0.031329,0,0,430000,205,72,L,1,1,0,0,2,0,0,0,0,0,0,0,430000,205,72,1,1,0,0,2,0,0,18,0,3,26
1992,44,1,4,1,0,0.673203,0,3,235000,180,75,R,22,5,1,0,1,0,0,1,4,0.666667,0,0,163666.666667,180,75,21,3.666667,1,0,2.333333,0,0,39.333333,1,3,28
1987,70,14,24,4,0,1.21414,2,8,450000,175,70,R,126,24,20,7,4,1,3,34.25,64,11.5,3.25,5,561250,175,70,253.5,40.25,23,3.25,1.5,3,7.75,88.75,28.75,14,38
2006,92,39,90,17,2,5.517446,6,34,4700000,170,70,R,324,38,32,2,3,3,11,41.461538,86.461538,18.307692,1.230769,8.692308,2183000,170,70,338.769231,48.076923,30.846154,1.615385,2.384615,3.461538,8.615385,97.923077,41.538462,11,34
1991,64,0,0,0,0,-0.092153,0,0,1050000,225,80,L,0,0,0,0,0,0,0,0,0,0,0,0,593750,225,80,0,0,0,0,0,0,0,67,0,7,33
2007,33,3,5,2,0,1.671926,1,5,1365000,190,74,R,57,15,1,0,4,0,0,3.666667,9.333333,2.666667,0,0.666667,690833.333333,190,74,54,12.333333,2.333333,0,8,0.333333,0,32,4.666667,4,27
1996,26,11,19,3,0,5.018201,5,16,109000,205,77,R,82,17,5,0,1,1,2,11,19,3,0,5,109000,205,77,82,17,5,0,1,1,2,26,16,0,25
2006,134,46,82,23,1,7.966008,8,33,330000,220,74,R,365,90,30,2,2,3,3,46,82,23,1,8,330000,220,74,365,90,30,2,2,3,3,134,33,1,24
1990,36,8,14,6,0,0.062823,0,2,100000,170,71,B,67,18,6,0,1,0,1,8,14,6,0,0,100000,170,71,67,18,6,0,1,0,1,36,2,0,21
2007,26,0,0,0,0,0.025763,0,0,380000,220,73,R,0,0,0,0,0,0,0,0,0,0,0,0,380000,220,73,0,0,0,0,0,0,0,26,0,1,27
2011,120,68,111,32,2,19.147738,17,80,12250000,220,73,R,431,100,68,3,0,4,14,75.857143,124.714286,31.571429,2.285714,17.428571,4568175,220,73,428.285714,92,63.857143,2.714286,0,5.428571,8.428571,119.857143,73.571429,7,32
1995,130,63,142,31,2,7.84845,15,60,4500000,185,72,R,525,57,61,1,3,4,10,93.090909,170.909091,32.272727,5.545455,13.727273,2576515.090909,185,72,546.272727,64,61.636364,5.454545,2.818182,4.636364,10.272727,136,68.090909,17,39
2003,52,17,46,5,0,6.201061,6,21,900000,210,72,L,151,32,9,1,0,1,4,14.857143,30.571429,3.714286,1.571429,4.857143,538071.428571,210,72,131.142857,30.142857,7.428571,0.571429,0,1,2.428571,44.857143,15.714286,8,28
1993,5,2,0,0,0,-1.386042,0,0,250000,175,73,R,2,2,1,0,0,0,0,35.6,61.6,10.4,1.4,2.4,247600,175,73,238.8,43.4,21.2,0.4,1.8,2,3.6,75,17,4,28
1995,120,42,82,16,2,6.804621,6,31,1150000,170,73,R,390,92,28,7,0,1,12,32.8,70.6,15.8,1.6,5.6,381400,170,73,293,68.8,23.8,6.6,0.8,1.4,7,89,29.8,5,26
2009,4,0,0,0,0,0.040017,0,0,3500000,170,73,R,0,0,0,0,0,0,0,0,0,0,0,0,1600888.888889,170,73,0.666667,0.555556,0,0,0,0,0,55,0,10,35
1988,155,77,163,23,8,15.76421,19,69,840000,175,73,R,618,91,54,3,1,5,14,84.75,170.25,26.75,5.25,18.75,692500,175,73,594.25,86.5,54,4.5,1.75,4.25,11.5,148.5,71.75,7,29
2012,155,96,171,26,10,10.904745,9,57,6845000,180,70,L,624,155,70,1,2,4,2,65.285714,117,17.857143,6.428571,3.142857,2750785.714286,180,70,429.571429,96.571429,42.142857,1.714286,3.714286,1.857143,2.714286,122,30.714286,6,30
2011,5,0,0,0,0,0.120239,0,0,450000,240,75,R,0,0,0,0,0,0,0,0,0,0,0,0,427050,240,75,1.5,0.5,0,0,0.5,0,0,12,0,6,29
2004,60,0,0,0,0,-0.02938,0,0,3000000,200,74,L,0,0,0,0,0,0,0,0,0,0,0,0,1578333.333333,200,74,0,0,0,0,0,0,0,64.222222,0,12,39
2003,27,5,4,1,0,0.212406,0,3,325000,190,74,R,31,5,2,0,2,0,0,32,53.071429,12.357143,1.142857,5.714286,1070102.785714,190,74,207.142857,35.5,12.214286,0.5,2.071429,1.571429,4.142857,76.571429,25.071429,11,37
1990,16,0,0,0,0,-0.037603,0,0,105000,160,72,L,0,0,0,0,0,0,0,0,0,0,0,0,105000,160,72,0,0,0,0,0,0,0,16,0,1,23
2001,79,24,69,8,1,8.020507,8,32,200500,205,70,R,221,42,5,0,0,3,5,24,69,8,1,8,200500,205,70,221,42,5,0,0,3,5,79,32,1,29
1998,49,14,31,1,0,4.178626,4,16,170000,220,74,R,144,30,10,0,0,2,5,10.5,23.5,2,0,3.5,170000,220,74,108.5,20,8,0,0,1.5,5,37.5,14.5,1,22
1999,31,0,0,0,0,-0.015987,0,0,200000,186,72,L,0,0,0,0,0,0,0,0,0,0,0,0,200000,186,72,0,0,0,0,0,0,0,31,0,0,26
2009,9,0,1,0,0,-0.286418,0,0,440000,220,72,R,16,8,0,0,3,0,0,1.5,3.5,0,0,0,416250,220,72,38.5,19.5,0,0,5.5,0,0,21,0.5,4,26
2003,35,0,1,0,0,0.11247,0,1,445000,240,74,L,6,3,0,0,0,0,0,0.333333,0.666667,0,0,0,326666.666667,240,74,5,3,0.333333,0,0,0,0,33.666667,0.333333,3,24
1995,36,0,0,0,0,-0.039934,0,0,810000,192,76,R,0,0,0,0,0,0,0,0,0,0,0,0,413333.333333,192,76,0,0,0,0,0,0,0,44,0,6,30
2009,45,15,22,11,0,1.007319,1,10,400000,200,72,L,93,25,11,0,0,3,1,15,22,11,0,1,400000,200,72,93,25,11,0,0,3,1,45,10,1,26
2003,145,75,149,37,3,14.214003,19,70,500000,205,75,L,542,97,64,4,1,6,13,55.142857,109.857143,22.428571,1.714286,13.142857,838571.428571,205,75,424.857143,80.285714,54.142857,4.142857,0.285714,3.285714,10.714286,121.285714,58,5,28
2009,33,1,0,0,0,0.314282,0,1,465000,210,79,R,4,1,1,0,0,0,0,0.333333,0.333333,0,0,0,428333.333333,210,79,4,1.333333,0.333333,0,0,0,0,30.333333,0.333333,3,27
2004,62,22,47,16,2,3.826032,4,18,315000,185,70,R,195,39,13,6,1,1,9,22,47,16,2,4,315000,185,70,195,39,13,6,1,1,9,62,18,1,27
2000,47,0,0,0,0,0.085718,0,0,1175000,195,75,R,2,2,0,0,0,0,0,0,0,0,0,0,408500,195,75,0.666667,0.333333,0,0,0.333333,0,0,34.5,0,7,32
1985,144,66,147,30,5,17.786042,18,80,477500,210,72,L,498,79,50,11,3,2,12,66,147,30,5,18,477500,210,72,498,79,50,11,3,2,12,144,80,5,26
2010,75,28,62,12,0,-0.48591,0,19,435000,215,74,R,261,31,37,1,2,0,9,62.666667,122.666667,20.666667,1.333333,8,420833.333333,215,74,434.333333,51.666667,51,2.666667,5.333333,1.333333,18,117.333333,51.666667,3,28
2012,33,5,8,2,0,2.18277,1,4,9000000,235,79,R,66,32,3,0,3,0,1,4.5,12.5,3,0.166667,1,3008250,235,79,61.166667,19.833333,2.666667,0,4.166667,0.166667,0.666667,38.833333,4.5,7,31
2005,36,0,1,0,0,-0.177041,0,0,450000,205,76,R,1,0,0,0,1,0,0,0.333333,0.333333,0,0,0,361333.333333,205,76,3.333333,1.333333,0,0,0.666667,0,0,23.666667,0,5,29
1999,36,12,19,7,0,2.999963,3,10,200000,200,71,R,90,32,11,1,0,0,4,12,19,7,0,3,200000,200,71,90,32,11,1,0,0,4,36,10,0,25
1994,108,54,135,20,0,13.539047,14,54,385000,200,74,R,434,88,29,5,0,2,14,50,105.333333,15,1.333333,12.333333,220833.333333,200,74,379,81.333333,22.333333,3.666667,0.666667,3.666667,9,106.333333,47,3,26
1987,151,70,145,35,2,25.729646,27,93,215000,205,75,R,578,84,47,10,0,5,16,70.666667,130.666667,26,1.666667,26,131666.666667,205,75,500.666667,74.666667,46,7.333333,0.666667,5.333333,13,136.333333,86,3,26
1991,138,94,131,26,2,22.570524,23,78,2000000,160,71,L,470,45,90,6,2,8,3,86.714286,138.428571,25.714286,3.857143,19.714286,1080000,160,71,521.571429,67.142857,76.142857,5.714286,2.714286,5.285714,8,139.714286,69,14,34
2013,99,40,72,8,0,17.465536,15,48,6000000,220,74,R,335,123,43,1,0,3,7,66.857143,99.285714,20.285714,1,26.428571,3831285.571429,220,74,436,163.857143,60.285714,2.142857,0.142857,3.285714,9.285714,125.285714,72.285714,6,30
2000,43,9,28,6,0,2.173345,3,12,1200000,200,73,L,125,29,8,0,1,0,7,18.615385,45.769231,9.153846,0.538462,4.230769,622436,200,73,178.153846,29.846154,13.692308,1.692308,0.923077,1.846154,5.846154,62.846154,22.153846,13,34
2013,139,79,129,38,2,32.551904,23,92,5000000,220,72,R,498,187,73,3,0,1,15,57.571429,93.571429,19.714286,1.142857,21.857143,3802857.142857,220,72,357.142857,110,48.142857,2.857143,0.285714,3.285714,9,109.571429,61.428571,7,32
1994,67,15,21,6,3,0.401673,0,5,243750,190,71,L,82,19,4,1,2,0,1,15.6,28.4,6.6,1.6,2,254250,190,71,114.8,22,8.6,1,1.2,0.6,1.4,78.4,12.4,6,33
2014,44,6,17,3,1,2.423068,3,8,3500000,215,73,L,69,19,11,0,0,1,2,50.625,91.4375,19.625,1.4375,16.25,5255687.5,215,73,342.0625,67.125,39.75,4.75,0,3.4375,8.1875,99.9375,56,16,37
2006,105,56,95,14,4,5.440685,4,30,1750000,180,72,L,372,47,31,0,2,1,1,39,72.2,13,2.4,2.5,1127500.1,180,72,283.5,37.6,33.7,2.5,3.2,1.7,4,84.2,23.4,11,36
1995,41,0,0,0,0,-0.095855,0,0,195000,180,72,R,1,1,0,0,0,0,0,1,2.333333,0.666667,0,0,154666.666667,180,72,22.666667,10,1,0,3.333333,0,0,39.333333,1,2,29
2014,62,0,0,0,0,0.012666,0,0,538500,220,76,L,0,0,0,0,0,0,0,0,0,0,0,0,512833.333333,220,76,0,0,0,0,0,0,0,64,0,3,26
2007,99,40,83,19,2,7.745043,5,33,3500000,170,72,R,329,45,22,1,0,3,8,52.307692,107.692308,20.769231,1.461538,13.230769,2035346.153846,170,72,388.769231,57.923077,30.538462,1.307692,2.692308,3.076923,9.384615,107.769231,51.692308,12,36
1989,28,0,0,0,0,-0.111363,0,0,1450000,200,75,R,0,0,0,0,0,0,0,0.5,1.166667,0,0,0,1012500,200,75,13.5,5.166667,0.333333,0,1,0,0,49.166667,0.166667,8,32
1995,80,49,103,25,4,13.833885,18,53,5300000,210,75,B,317,48,31,10,0,2,11,73.4,134.7,28.8,4.3,20.6,2875000,210,75,476.2,77.6,59.2,10.2,0.2,6.1,9.5,131,78.6,9,32
2014,80,14,49,5,2,1.375964,0,17,3000000,210,71,R,174,26,7,0,1,2,12,36.25,76.5,15,2.75,3.25,1315333.25,210,71,287.25,47.5,24.75,0.25,3.25,1.25,8.25,95,21.75,4,26
1985,101,51,62,14,4,6.110435,6,28,227500,180,73,R,246,52,44,2,2,1,0,51,62,14,4,6,227500,180,73,246,52,44,2,2,1,0,101,28,3,29
2009,159,76,165,26,5,22.473039,25,72,439000,220,76,R,585,109,58,1,0,3,25,77,162.5,30,4.5,25,417500,220,76,590,116.5,49,1.5,0,3,19.5,158,77.5,2,26
2011,17,0,0,0,0,0.054816,0,0,416500,220,75,R,2,0,0,0,0,0,0,0,0,0,0,0,416500,220,75,2,0,0,0,0,0,0,17,0,1,25
1997,76,10,33,5,0,-0.195431,0,11,425000,185,72,R,132,17,8,0,4,1,10,16.2,42,7.4,1,2.4,253000,185,72,172.8,21.2,11.6,0.4,2,1.6,8.4,71.4,21,10,36
2002,33,10,25,4,0,0.237721,0,6,375000,173,70,B,107,13,8,0,4,1,4,36,78,14,3,4,307500,173,70,297.5,33.5,20,0,6,2,5.5,85,28.5,3,30
1999,4,0,0,0,0,0.000953,0,0,610000,180,74,L,0,0,0,0,0,0,0,0.076923,0.384615,0.076923,0,0,414384.615385,180,74,5.153846,2.076923,0.230769,0,0.769231,0,0,27.692308,0.307692,13,38
2013,121,68,116,40,0,20.124973,14,65,4500000,235,75,B,425,139,43,3,0,2,7,35.166667,60,15.833333,0.666667,10.666667,1499675,235,75,249.166667,83.166667,22.166667,0.833333,0.5,1.333333,3.666667,73.5,36,6,28
2008,52,28,43,13,1,7.650843,6,23,6666666,200,74,R,206,36,16,0,0,0,5,59.285714,103.571429,24,3.857143,13.571429,2645666.571429,200,74,390.857143,66.285714,31.428571,1.571429,0.857143,2.142857,7,104.285714,49.142857,8,32
1992,59,1,2,1,0,0.231839,0,2,280000,185,75,R,3,0,0,0,0,0,0,0.333333,0.666667,0.333333,0,0,190000,185,75,5,2.666667,0.666667,0,1,0,0.333333,58,1,3,26
2000,156,106,193,38,1,45.555398,50,138,11000000,165,72,R,604,168,91,19,0,8,12,72.846154,123.538462,18.769231,2.769231,29.692308,3625846.153846,165,72,453.307692,118.230769,39.923077,6.384615,1.307692,3.538462,10.230769,120.384615,83,11,32
2003,66,0,0,0,0,-0.041206,0,0,305000,240,78,R,0,0,0,0,0,0,0,0,0,0,0,0,305000,240,78,0,0,0,0,0,0,0,66,0,0,26
1998,57,12,43,9,0,2.725677,4,18,700000,195,74,R,164,31,9,0,3,3,3,17.181818,39.636364,9.545455,0.272727,4.727273,457727.272727,195,74,174.454545,27.636364,16.727273,1,3,1.363636,5.181818,60.909091,21.454545,13,38
2003,77,0,0,0,0,0.018036,0,0,350000,175,74,L,2,1,0,0,1,0,0,0.5,0.75,0,0,0.25,293750,175,74,6.25,2.25,0,0,0.75,0,0,44,0.25,3,30
1993,26,1,5,0,0,-0.064027,0,1,307500,210,77,L,39,9,1,0,3,0,0,3,6.333333,1,0,0,207500,210,77,52,11.666667,1.666667,0,4.333333,0,1.666667,27.333333,1.333333,3,26
2009,56,18,33,10,0,3.967227,4,13,405000,220,74,R,155,43,13,1,0,2,2,18,33,10,0,4,405000,220,74,155,43,13,1,0,2,2,56,13,2,25
1999,23,3,2,1,0,0.52453,0,2,4766667,215,76,R,24,13,2,0,4,0,0,1,1.5,0.5,0,0,2243750.25,215,76,14.75,8,1,0,2.5,0,0.25,29.25,1,8,32
1992,97,21,58,10,1,0.715557,1,16,297500,190,73,R,208,35,12,2,2,3,3,14.4,31,6,0.4,1.4,144700,190,73,138.4,25.4,7.4,2,1,1.4,2.2,67,11,5,26
2003,13,3,3,1,0,-0.352273,0,3,500000,185,72,L,27,4,3,0,1,1,0,22.5,38.25,7.75,0.25,2.75,317500,185,72,177.5,38.5,24,0.25,4.5,0.75,2.25,61.75,15,5,28
1993,85,24,63,11,0,8.022711,11,32,170000,195,74,R,258,45,22,2,3,3,6,18,56,10,0,5.5,145000,195,74,231.5,35,16.5,2,4.5,1.5,6.5,81,23.5,2,26
